"Variable","HR..95..CI.","P.Value"
"Age","1.01 (1-1.03)","0.0155"
"Gender","1.18 (0.96-1.46)","0.1166"
"AJCC stage","1.23 (1.16-1.3)","<0.001"
"T category (T1,T2,T3,T4,TX)","1.44 (1.28-1.64)","<0.001"
"N category (N0,N1,N2,N3,NX)","1.29 (1.17-1.44)","<0.001"
"M category (M0,M1,MX)","1.07 (0.94-1.21)","0.3186"
"Smoking history","0.92 (0.83-1.01)","0.0798"
