"Variable","HR","CI5","CI95","HR (95% CI)","Pvalue"
"Age",1.02,1.01,1.03,"1.02 (1.01-1.03)",0.0041
"Stage",1.15,1.04,1.26,"1.15 (1.04-1.26)",0.0048
"T",1.17,0.99,1.38,"1.17 (0.99-1.38)",0.0659
"N",1.11,0.97,1.28,"1.11 (0.97-1.28)",0.1318
